goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkStaticSerialize5MSCC-10         	 5009364	       240.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4989583	       247.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4999850	       242.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4979500	       250.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4985946	       240.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4991863	       240.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4990861	       240.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4986498	       241.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 9286250	       129.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 9308928	       136.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 9309231	       130.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 8219749	       128.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 9282039	       128.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 9280006	       128.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 9355627	       131.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 8747617	       129.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 9310522	       129.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeTriggerTTC-10    	 8849918	       128.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 9494098	       129.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 9540103	       126.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 9490585	       127.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 8909810	       127.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 9625359	       129.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 9479308	       126.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 9337195	       131.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 6852386	       181.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 6298699	       237.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerializeCCA-10           	 7773586	       229.1 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/fiorix/go-diameter/v4/bench	296.517s
